City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-12-10 02:32:27,-46.1927,168.8643,61.48,37,59,7.58
1,Lasa,IT,2021-12-10 02:32:27,46.6166,10.7002,23.02,74,13,2.64
2,Dikson,RU,2021-12-10 02:32:29,73.5069,80.5464,-26.61,97,49,5.77
3,Baturaja,ID,2021-12-10 02:32:32,-4.1333,104.1667,77.74,90,98,4.5
4,Jucurutu,BR,2021-12-10 02:32:37,-6.0339,-37.0203,83.12,59,87,6.82
5,Arraial Do Cabo,BR,2021-12-10 02:28:26,-22.9661,-42.0278,71.56,78,1,9.17
6,Hermanus,ZA,2021-12-10 02:32:39,-34.4187,19.2345,65.8,89,98,8.19
7,Rikitea,PF,2021-12-10 02:32:39,-23.1203,-134.9692,75.81,74,70,19.33
8,Caibarien,CU,2021-12-10 02:32:41,22.5206,-79.4669,70.92,77,26,11.65
9,Jamestown,US,2021-12-10 02:32:42,42.097,-79.2353,35.19,68,100,5.99
10,Ushuaia,AR,2021-12-10 02:32:42,-54.8,-68.3,51.46,62,20,12.66
11,Cape Town,ZA,2021-12-10 02:32:45,-33.9258,18.4232,64.11,84,20,1.99
12,Avarua,CK,2021-12-10 02:32:46,-21.2078,-159.775,80.65,74,76,6.91
13,Ambon,ID,2021-12-10 02:29:11,-3.6954,128.1814,89.74,62,40,6.91
14,Luderitz,NA,2021-12-10 02:32:47,-26.6481,15.1594,60.03,81,0,6.42
15,Hilo,US,2021-12-10 02:28:57,19.7297,-155.09,81.28,38,90,6.91
16,Hobart,AU,2021-12-10 02:30:02,-42.8794,147.3294,62.11,71,75,1.99
17,Bluff,NZ,2021-12-10 02:32:51,-46.6,168.3333,61.81,61,57,11.61
18,Le Mars,US,2021-12-10 02:32:51,42.7942,-96.1656,38.57,75,90,0.0
19,Mount Gambier,AU,2021-12-10 02:32:52,-37.8333,140.7667,64.31,52,90,14.97
20,Punta Arenas,CL,2021-12-10 02:32:54,-53.15,-70.9167,50.11,62,0,4.61
21,Klaksvik,FO,2021-12-10 02:32:55,62.2266,-6.589,43.72,82,100,22.32
22,Cidreira,BR,2021-12-10 02:32:56,-30.1811,-50.2056,66.33,67,4,9.33
23,Ilulissat,GL,2021-12-10 02:32:56,69.2167,-51.1,21.22,49,87,11.5
24,Arman,RU,2021-12-10 02:32:11,59.7,150.1667,4.89,67,100,6.78
25,La Ronge,CA,2021-12-10 02:32:57,55.1001,-105.2842,19.65,86,90,5.75
26,Vardo,NO,2021-12-10 02:32:57,70.3705,31.1107,22.59,82,18,23.22
27,Puerto Ayora,EC,2021-12-10 02:33:00,-0.7393,-90.3518,70.2,88,96,6.51
28,Port Alfred,ZA,2021-12-10 02:33:00,-33.5906,26.891,70.11,94,44,6.2
29,Sitka,US,2021-12-10 02:33:01,57.0531,-135.33,37.29,75,90,10.36
30,Luanda,AO,2021-12-10 02:32:09,-8.8368,13.2343,77.0,88,75,4.61
31,Zhigansk,RU,2021-12-10 02:29:07,66.7697,123.3711,-9.24,97,100,20.92
32,Kapaa,US,2021-12-10 02:33:07,22.0752,-159.319,80.58,81,20,1.99
33,Tiksi,RU,2021-12-10 02:33:12,71.6872,128.8694,-9.72,98,100,7.36
34,Airai,TL,2021-12-10 02:33:13,-8.9266,125.4092,73.56,62,74,1.48
35,Severo-Kurilsk,RU,2021-12-10 02:33:13,50.6789,156.125,36.41,82,6,8.95
36,Tasiilaq,GL,2021-12-10 02:33:14,65.6145,-37.6368,26.76,59,100,7.7
37,East London,ZA,2021-12-10 02:32:37,-33.0153,27.9116,67.42,81,3,3.2
38,Castro,BR,2021-12-10 02:33:15,-24.7911,-50.0119,52.65,96,0,5.12
39,Callaway,US,2021-12-10 02:33:17,30.153,-85.5699,66.99,95,90,4.0
40,Los Llanos De Aridane,ES,2021-12-10 02:33:21,28.6585,-17.9182,61.12,74,75,14.0
41,Tigre,AR,2021-12-10 02:33:23,-34.426,-58.5796,74.21,83,0,12.66
42,Vestmannaeyjar,IS,2021-12-10 02:33:24,63.4427,-20.2734,36.21,81,100,8.5
43,Vila Do Maio,CV,2021-12-10 02:34:27,15.1333,-23.2167,72.39,69,89,17.43
44,Keuruu,FI,2021-12-10 02:34:27,62.2667,24.7,15.98,90,100,10.33
45,Cabo San Lucas,MX,2021-12-10 02:34:30,22.8909,-109.9124,75.51,68,1,23.02
46,Port Elizabeth,ZA,2021-12-10 02:34:30,-33.918,25.5701,68.29,100,75,5.75
47,Tuktoyaktuk,CA,2021-12-10 02:34:32,69.4541,-133.0374,-5.8,84,1,9.22
48,Srednekolymsk,RU,2021-12-10 02:34:33,67.45,153.6833,-44.73,100,95,4.5
49,Provideniya,RU,2021-12-10 02:34:37,64.3833,-173.3,5.11,78,75,13.42
50,Hammond,US,2021-12-10 02:32:22,41.5834,-87.5,44.8,80,90,6.91
51,Hithadhoo,MV,2021-12-10 02:34:44,-0.6,73.0833,81.64,77,78,12.57
52,Butaritari,KI,2021-12-10 02:34:45,3.0707,172.7902,82.35,77,100,8.03
53,Albany,US,2021-12-10 02:30:09,42.6001,-73.9662,30.81,77,100,4.0
54,Atuona,PF,2021-12-10 02:34:47,-9.8,-139.0333,78.53,68,69,13.11
55,Blois,FR,2021-12-10 02:34:48,47.5833,1.3333,46.74,80,100,21.54
56,Chalus,IR,2021-12-10 02:34:48,36.655,51.4204,60.26,72,40,6.91
